movie_id,avg_watch_time,completion_rate,ratings_count,avg_rating,hit,engagement,popularity,cluster,cluster_name
1,82,0.67,6176,3.7,1,0.45757575757575764,0.41089179261757103,0,Low Performers (Low Engagement & Popularity)
2,94,0.98,7178,4.2,1,0.7385780885780887,0.5410597940627447,1,Blockbusters (High Engagement & Popularity)
3,49,0.63,2095,3.4,0,0.30034965034965033,0.2280219184681159,0,Low Performers (Low Engagement & Popularity)
4,84,0.81,3398,4.4,0,0.5713286713286714,0.46725236346119114,1,Blockbusters (High Engagement & Popularity)
5,60,0.57,1076,3.6,0,0.2972027972027972,0.23734208466309398,0,Low Performers (Low Engagement & Popularity)
6,66,0.75,3270,4.3,1,0.45664335664335665,0.4433985668693924,0,Low Performers (Low Engagement & Popularity)
7,86,0.49,924,3.4,0,0.3365967365967366,0.19276570121033304,0,Low Performers (Low Engagement & Popularity)
8,108,0.8,9889,4.3,1,0.6560606060606062,0.6426820015656048,1,Blockbusters (High Engagement & Popularity)
9,38,0.57,562,3.7,0,0.21258741258741254,0.24186668272415257,0,Low Performers (Low Engagement & Popularity)
10,128,0.89,8621,4.6,1,0.8011655011655012,0.6645053290780996,1,Blockbusters (High Engagement & Popularity)
11,126,0.83,8000,4.8,1,0.7480186480186481,0.6858083940507015,1,Blockbusters (High Engagement & Popularity)
12,33,0.53,1110,3.6,0,0.16305361305361307,0.23836574938279048,0,Low Performers (Low Engagement & Popularity)
13,30,0.61,566,3.7,0,0.2121212121212121,0.24198711386764626,0,Low Performers (Low Engagement & Popularity)
14,129,0.79,5417,4.9,1,0.7292540792540794,0.6280399831396399,1,Blockbusters (High Engagement & Popularity)
15,43,0.55,1897,3.2,0,0.2166666666666667,0.18206057686517746,0,Low Performers (Low Engagement & Popularity)
16,42,0.61,1396,3.7,0,0.25827505827505826,0.26697657614259057,0,Low Performers (Low Engagement & Popularity)
17,92,0.68,5923,4.6,0,0.5036130536130536,0.5832745227915939,1,Blockbusters (High Engagement & Popularity)
18,109,0.79,9044,5.0,1,0.6523310023310025,0.7572409225025591,1,Blockbusters (High Engagement & Popularity)
19,100,0.89,6579,4.4,1,0.6934731934731935,0.563025230324562,1,Blockbusters (High Engagement & Popularity)
20,97,0.88,3997,4.2,0,0.6743589743589744,0.44528692719937385,1,Blockbusters (High Engagement & Popularity)
21,42,0.61,1620,3.4,0,0.25827505827505826,0.21372072017823815,0,Low Performers (Low Engagement & Popularity)
22,98,0.86,7961,4.2,1,0.6630536130536131,0.564634190401638,1,Blockbusters (High Engagement & Popularity)
23,112,0.92,9182,4.4,1,0.7623543123543124,0.6413957969530921,1,Blockbusters (High Engagement & Popularity)
24,48,0.7,1138,3.4,0,0.3495337995337996,0.19920876738724638,0,Low Performers (Low Engagement & Popularity)
25,54,0.69,1784,3.6,0,0.36503496503496496,0.2586583970614802,0,Low Performers (Low Engagement & Popularity)
26,46,0.57,1751,4.0,0,0.2433566433566433,0.3376648401276571,0,Low Performers (Low Engagement & Popularity)
27,137,0.91,8624,4.3,1,0.8509324009324011,0.6045956524357199,1,Blockbusters (High Engagement & Popularity)
28,85,0.8,5065,4.2,0,0.5675990675990676,0.4774420425121937,1,Blockbusters (High Engagement & Popularity)
29,60,0.6,2395,4.0,0,0.3199300699300699,0.357054254230144,0,Low Performers (Low Engagement & Popularity)
30,80,0.76,6614,4.3,0,0.5180652680652681,0.5440790028301319,1,Blockbusters (High Engagement & Popularity)
31,42,0.57,856,2.9,0,0.22797202797202792,0.09071837177093993,0,Low Performers (Low Engagement & Popularity)
32,113,0.9,4229,4.4,1,0.7510489510489511,0.49227193352200893,1,Blockbusters (High Engagement & Popularity)
33,108,0.88,12045,4.1,1,0.7166666666666668,0.6675943879087132,1,Blockbusters (High Engagement & Popularity)
34,124,0.95,11674,4.7,1,0.8312354312354313,0.7764243993496719,1,Blockbusters (High Engagement & Popularity)
35,53,0.57,500,3.7,0,0.27027972027972025,0.2400000000000001,0,Low Performers (Low Engagement & Popularity)
36,82,0.75,4521,4.0,0,0.5181818181818182,0.42106340699704947,0,Low Performers (Low Engagement & Popularity)
37,93,0.76,6921,4.0,0,0.568065268065268,0.49332209309327396,1,Blockbusters (High Engagement & Popularity)
38,60,0.65,2154,3.1,0,0.35780885780885785,0.16979827783464815,0,Low Performers (Low Engagement & Popularity)
39,64,0.47,1849,3.8,0,0.2368298368298368,0.30061540314325286,0,Low Performers (Low Engagement & Popularity)
40,114,0.87,10111,4.6,1,0.7321678321678322,0.7093659300295055,1,Blockbusters (High Engagement & Popularity)
41,71,0.64,3240,4.0,1,0.39254079254079255,0.38249533329318963,0,Low Performers (Low Engagement & Popularity)
42,58,0.69,1494,3.0,0,0.38041958041958035,0.1299271391581864,0,Low Performers (Low Engagement & Popularity)
43,70,0.75,3759,4.3,1,0.4720279720279721,0.45812127416149817,0,Low Performers (Low Engagement & Popularity)
44,40,0.64,1720,3.3,0,0.2733100233100233,0.19673149876558083,0,Low Performers (Low Engagement & Popularity)
45,141,0.85,10288,4.8,1,0.820862470862471,0.7546950081291022,1,Blockbusters (High Engagement & Popularity)
