movie_id,avg_watch_time,completion_rate,ratings_count,avg_rating,hit
19995,98,0.92,15573,4.5,1.0
285,71,0.74,6495,4.5,1.0
206647,64,0.73,6452,4.4,1.0
49026,85,0.86,12222,4.6,1.0
49529,50,0.67,3540,4.3,1.0
559,60,0.7,5346,4.3,1.0
38757,50,0.72,5040,4.6,1.0
99861,73,0.8,9314,4.5,1.0
767,67,0.77,7481,4.6,1.0
209112,78,0.78,9609,4.3,1.0
1452,50,0.64,2640,4.2,1.0
10764,54,0.69,4586,4.3,1.0
58,71,0.76,7422,4.5,1.0
57201,52,0.67,3773,4.3,0.0
49521,69,0.78,8806,4.4,1.0
2454,50,0.66,2926,4.4,1.0
24428,91,0.92,15543,4.6,1.0
1865,66,0.74,7052,4.4,1.0
41154,53,0.72,6072,4.3,1.0
122917,66,0.75,6818,4.5,1.0
1930,68,0.78,9089,4.4,1.0
20662,47,0.66,2637,4.3,1.0
57158,65,0.75,6525,4.6,1.0
2268,46,0.65,2519,4.3,1.0
254,56,0.68,3805,4.4,1.0
597,85,0.82,10302,4.6,1.0
271110,81,0.81,9903,4.5,1.0
44833,51,0.66,3528,4.2,1.0
135397,94,0.83,11670,4.4,1.0
37724,73,0.81,10355,4.5,1.0
558,55,0.73,6272,4.4,1.0
68721,72,0.84,11849,4.4,1.0
12155,56,0.74,6675,4.4,1.0
36668,49,0.71,5282,4.4,1.0
62211,54,0.72,5286,4.5,1.0
8373,53,0.69,4801,4.3,1.0
91314,62,0.69,4748,4.3,1.0
68728,54,0.7,5288,4.3,1.0
102382,61,0.73,6096,4.4,1.0
20526,53,0.69,4432,4.4,1.0
49013,48,0.66,3427,4.3,1.0
44912,50,0.66,3991,4.2,1.0
10193,54,0.76,6615,4.6,1.0
534,51,0.68,3962,4.3,1.0
168259,61,0.74,6092,4.5,1.0
72190,60,0.76,7813,4.4,1.0
127585,67,0.79,8400,4.6,1.0
54138,59,0.75,6393,4.6,1.0
81005,50,0.67,4129,4.2,1.0
64682,57,0.73,5586,4.5,1.0
9543,50,0.68,3780,4.3,1.0
68726,59,0.74,6860,4.4,1.0
38356,54,0.7,5001,4.3,1.0
217,52,0.67,4001,4.3,1.0
105864,46,0.67,3058,4.4,1.0
62177,56,0.74,6670,4.4,1.0
188927,52,0.69,4092,4.4,1.0
10681,58,0.8,8728,4.6,1.0
5174,43,0.64,1872,4.3,1.0
14161,62,0.73,6996,4.2,1.0
17979,45,0.66,2260,4.4,1.0
76757,54,0.67,4341,4.2,1.0
258489,49,0.67,3921,4.2,1.0
411,54,0.69,4168,4.4,1.0
246655,67,0.74,6770,4.4,1.0
155,98,0.94,15824,4.7,1.0
14160,60,0.81,9442,4.6,1.0
15512,45,0.65,2668,4.3,1.0
1726,74,0.85,11812,4.6,1.0
44826,49,0.69,3561,4.5,1.0
8487,45,0.63,2167,4.2,1.0
1735,47,0.64,2624,4.2,1.0
297761,67,0.79,10173,4.3,1.0
2698,44,0.63,2330,4.2,1.0
137113,58,0.76,6940,4.6,1.0
9804,46,0.64,2132,4.3,1.0
14869,48,0.66,3339,4.2,1.0
150540,61,0.81,9056,4.7,1.0
278927,53,0.7,4495,4.4,1.0
10138,65,0.79,9416,4.4,1.0
58595,55,0.69,4776,4.3,1.0
102651,56,0.74,6490,4.5,1.0
119450,71,0.75,6383,4.5,1.0
100402,64,0.78,8067,4.3,1.0
10192,46,0.67,3335,4.6,1.0
